bluetooth,brand,clavier,lieu_fabrication,frequence,lecteur_empreinte,lecteur_carte_memoire,RAM,nb_coeurs,norme_wifi,poids,price,processeur,product_type,OS,taille_ecran,type_resolution,webcam,model_CG,marque_CG,tactile,longueur,hauteur,profondeur,resolution1,resolution2,SSD,HDD,eMMC
5,APPLE,standard,Chine,1.066,Non,Non,2,2.0,WIFI 6 (AX),1.8,230,INTEL CORE I5,"Ordinateur APPLE APPLE Air 11"" 2011 i5 1.6Ghz 2GB 64GB SSD Reconditionné",Mac,11.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,64,0,0
5,MACBOOK,rétroéclairé,Chine,2.3,Oui,Non,16,4.0,WIFI 5 (N/AC),2.0,1789,INTEL CORE I9,Ordinateur Apple MACBOOK Pro 16 Touch Bar I9 1To Argent Reconditionné,Mac,16.0,Retina,Oui,ORIGINE,ORIGINE,False,35.79,1.62,24.59,3072,1920,1000,0,0
5,MICROSOFT,détachable,Chine,4.8,Non,Non,16,4.0,WIFI 6 (AX),0.89,1349,INTEL CORE I7,PC Hybride MICROSOFT Surface Pro 8 13' i7/16/256 Graphite,Windows,13.0,Full HD,Oui,INTEL_IRIS,INTEL,False,28.7,20.8,0.93,2880,1920,256,0,0
5.2,LENOVO,rétroéclairé,Chine,2.1,Non,Oui,16,12.0,WIFI 6 (AX),2.0,1429,INTEL CORE I7,Ordinateur portable LENOVO Yoga 7 16IAP7,Windows,16.0,WQXGA,Oui,INTEL_IRIS,INTEL,False,36.2,25.0,1.9,2560,1600,512,0,0
5,ASUS,rétroéclairé,Chine,1.1,Non,Non,16,10.0,WIFI 6 (AX),2.0,3999,INTEL CORE I7,Ordinateur portable ASUS Zenbook 17 Fold UX9702 OLED,Windows,13.3,OLED,Oui,ORIGINE,ORIGINE,True,1.3,28.8,37.9,2560,1080,1000,0,0
5.1,HUAWEI,standard,Chine,2.4,Oui,Non,8,4.0,WIFI 6 (AX),1.6,599,INTEL CORE I5,Portable HUAWEI MateBook D15 I5 8 512 UMA Non-Touch,Windows,15.6,Full HD,Oui,ORIGINE,ORIGINE,False,35.78,22.99,1.69,1920,1080,512,0,0
5.1,MSI,rétroéclairé,Chine,3.3,Non,Oui,16,6.0,WIFI 6 (AX),2.3,1075,AMD RYZEN 5,PC Gamer MSI Bravo 15 B5DD-095FR,Windows,15.6,Full HD,Oui,AMD_RADEON,AMD,False,35.9,2.4,25.9,1920,1080,512,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,32,14.0,WIFI 6 (AX),2.3,2749,INTEL CORE I7,PC Gamer MSI GE66 Raider 12UGS-091XFR,FreeDOS,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.8,2.3,26.7,1920,1080,1000,0,0
5,MACBOOK,rétroéclairé,Chine,0.0,Oui,Non,8,8.0,WIFI 6 (AX),1.2,1499,PUCE APPLE M2,Ordinateur Apple MACBOOK AIR M2 8 256 Minuit,Mac,13.6,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.13,21.5,2560,1664,256,0,0
5,MICROSOFT,détachable,Chine,4.2,Non,Non,8,4.0,WIFI 6 (AX),0.89,949,INTEL CORE I5,PC Hybride MICROSOFT Surface Pro 8 13' I5/8/128 Platine,Windows,13.0,Full HD,Oui,INTEL_IRIS,INTEL,False,28.7,20.8,0.93,2880,1920,128,0,0
5.2,ACER,rétroéclairé,Chine,2.3,Non,Non,16,8.0,WIFI 6 (AX),3.0,2299,INTEL CORE I7,PC Gamer ACER Predator Helios 300 PH317-56-75UZ,Windows,17.3,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.9,29.5,2.68,2560,1440,512,0,0
4,LENOVO,standard,Chine,2.0,Non,Non,8,15.0,WIFI 5 (N/AC),1.4,325,INTEL CORE I3,LENOVO ThinkPad 13 (2nd gen) - 8Go - SSD 256Go Reconditionné,Windows,13.3,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,256,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,16,8.0,WIFI 6 (AX),2.5,4146,INTEL CORE I7,PC Gamer MSI GS76 Stealth 11UG-002FR,Windows,17.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.61,2.02,25.94,1920,1080,1000,0,0
5,MACBOOK,standard,Chine,1.8,Non,Non,8,2.0,WIFI 5 (N/AC),1.4,745,INTEL CORE I5,MACBOOK MacBook Air 2017 13' i5 8Go 1000SSD Reconditionné,Mac,13.3,HD,Oui,ORIGINE,ORIGINE,False,32.5,1.7,22.7,1440,900,1000,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,32,14.0,WIFI 6E,2.9,3256,INTEL CORE I7,PC Gamer MSI RAIDER GE76 12UGS-478FR,Windows,17.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.9,2.59,28.4,1920,1080,1000,0,0
4.1,ASUS,standard,Chine,3.0,Non,Non,8,2.0,WIFI 5 (N/AC),1.8,599,INTEL CORE I3,Ordinateur portable ASUS R515EA-BQ2123W,Windows,15.6,Full HD,Oui,ORIGINE,ORIGINE,False,2.0,23.5,36.0,1920,1080,512,0,0
5,MACBOOK,rétroéclairé,Chine,3.3,Non,Non,16,10.0,WIFI 6 (AX),2.1,2749,PUCE APPLE M1 PRO,Ordinateur Apple MACBOOK Pro 16 M1 Pro 512 Argent,Mac,16.0,Retina,Oui,ORIGINE,ORIGINE,False,35.57,1.68,24.81,3456,2234,512,0,0
5,MICROSOFT,standard,Chine,1.3,Non,Non,8,4.0,WIFI 6 (AX),1.3,1179,INTEL CORE I5,Ordinateur portable MICROSOFT Surface Laptop 5 13'' I5/8/256 Platine,Windows,13.5,Full HD,Oui,INTEL_IRIS,INTEL,False,22.3,30.8,1.45,2256,1504,256,0,0
4.2,HP,standard,Chine,2.3,Non,Oui,4,2.0,WIFI 5 (N/AC),1.7,399,AMD,Ordinateur portable HP 15s-eq1163nf,Windows,15.6,Full HD,Oui,ORIGINE,ORIGINE,False,35.85,1.79,24.2,1920,1080,128,0,0
5,MACBOOK,rétroéclairé,Chine,2.3,Oui,Non,8,4.0,NC,1.4,1186,INTEL CORE I5,Ordinateur Apple MACBOOK Pro 13 Touch Bar I5 256 Gris Sideral Reconditionné,Mac,13.3,Full HD,Non,NULL,NULL,False,30.41,1.49,21.24,2560,1600,0,0,0
4,LENOVO,standard,Taïwan,2.7,Non,Oui,8,2.0,WIFI 5 (N/AC),5.0,489,INTEL CORE I7,Ordinateur portable reconditionné LENOVO ThinkPad T570 - 8Go - SSD 256Go - Tactil Reconditionné,Windows,15.6,Full HD,Oui,ORIGINE,ORIGINE,False,25.3,2.39,36.3,1920,1080,256,0,0
5,ASUS,rétroéclairé,Chine,2.3,Non,Oui,16,8.0,WIFI 5 (N/AC),2.9,729,INTEL CORE I7,PC Gamer ASUS GL703GE-EE215T Reconditionné,Windows,17.3,Full HD,Non,NULL,NULL,False,2.5,41.8,28.0,1920,1080,0,0,0
5,MACBOOK,standard,Chine,2.3,Non,Non,8,4.0,WIFI 5 (N/AC),1.8,834,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Pro 13,3"" i7 3,1 GHz 256 Go Reconditionné",Mac,13.3,Full HD,Non,NULL,NULL,False,30.41,2.39,22.4,2560,1600,0,0,0
5,MACBOOK,rétroéclairé,Chine,3.2,Non,Oui,64,10.0,WIFI 6 (AX),2.2,5958,PUCE APPLE M1 MAX,Ordinateur Apple MACBOOK CTO Pro 16 M1 Max 64Go 4To gris sid,Mac,16.0,Retina,Oui,ORIGINE,ORIGINE,False,35.57,1.68,24.81,3456,2234,4000,0,0
5,APPLE,standard,Chine,1.333,Non,Non,16,2.0,WIFI 6 (AX),1.8,599,INTEL CORE I7,"Ordinateur APPLE APPLE Pro Retina 15"" 2015 i7 2.2Ghz 16GB 256GB Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,256,0,0
5,APPLE,standard,Chine,2.3,Non,Non,8,2.0,WIFI 4 (N),1.8,379,INTEL CORE I7,"Ordinateur APPLE APPLE MacBook Pro 13"" i5 2,5 GHz 128 Go Reconditionné",Mac,13.3,Full HD,Non,NULL,NULL,False,30.41,2.39,22.4,1280,800,0,0,0
5,MACBOOK,standard,Etats-Unis,1.5,Non,Non,8,4.0,WIFI 4 (N),1.8,259,INTEL CORE I5,"MACBOOK Air 11"" 2013 i5 1.3Ghz 8GB 128GB SSD Reconditionné",Mac,11.0,HD,Non,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,128,0,0
5.1,MSI,rétroéclairé,Chine,2.6,Non,Oui,16,6.0,WIFI 6 (AX),1.9,3608,INTEL CORE I7,PC Gamer MSI WF65 10TJ-422FR,Windows,15.6,Full HD,Oui,NVIDIA_QUADRO,NVIDIA,False,35.9,2.17,25.4,1920,1080,256,1000,0
5.2,MSI,rétroéclairé,Chine,2.5,Non,Oui,16,12.0,WIFI 6 (AX),2.2,1739,INTEL CORE I5,PC Gamer MSI Pulse GL66 12UEK-454XFR,FreeDOS,15.6,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.9,2.39,25.9,2560,1440,512,0,0
5,APPLE,standard,Chine,1.066,Non,Non,4,2.0,WIFI 6 (AX),1.8,649,INTEL CORE I7,"Ordinateur APPLE APPLE Pro 15"" 2011 i7 2.2Ghz 4GB 128GB SSD Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,128,0,0
5,DELL,rétroéclairé,Chine,4.7,Oui,Oui,32,14.0,WIFI 6 (AX),2.1,2699,INTEL CORE I7,Ordinateur portable DELL XPS 15,Windows,15.6,Full HD,Non,INTEL_IRIS,INTEL,False,34.44,1.85,23.01,1920,1200,0,1000,0
4.1,ASUS,standard,Chine,1.1,Non,Non,4,2.0,WIFI 5 (N/AC),1.3,349,INTEL CELERON,Ordinateur portable ASUS E410MA-EK1432WS + O365 Perso,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,1.8,21.7,32.5,1920,1080,0,0,128
5,MACBOOK,standard,Chine,2.4,Non,Non,4,2.0,WIFI 5 (N/AC),2.0,503,INTEL CORE I5,"Ordinateur Apple MACBOOK Air 13"" 2011 i5 1.7Ghz 4GB 256GB SSD Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.0,5.0,20.0,1440,900,256,0,0
4,DELL,standard,Taïwan,2.4,Non,Oui,8,2.0,WIFI 5 (N/AC),5.0,389,INTEL CORE I5,Ordinateur portable reconditionné DELL Latitude E7470 - 8Go - SSD 512Go - Tacti Reconditionné,Windows,14.0,QHD,Oui,ORIGINE,ORIGINE,False,23.2,2.39,33.5,2560,1440,512,0,0
5.1,LENOVO,standard,Chine,3.0,Non,Oui,8,2.0,WIFI 6 (AX),1.4,399,INTEL CORE I3,Ordinateur portable LENOVO Ideapad 3 14ITL6,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,21.6,32.4,2.0,1920,1080,256,0,0
5,HP,standard,Chine,1.1,Non,Oui,4,2.0,WIFI 5 (N/AC),1.5,369,INTEL CELERON,Chromebook HP 14a-na1013nf,Chrome,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,32.57,1.79,21.85,1920,1080,0,0,64
5.1,HONOR,rétroéclairé,Chine,3.3,Oui,Non,16,6.0,WIFI 6 (AX),1.8,1209,AMD RYZEN 5,Ordinateur portable HONOR Honor MagicBook 16 R5 5600 16 12,Windows,16.1,Full HD,Oui,AMD_RADEON,AMD,False,36.8,23.6,1.8,1920,1080,512,0,0
Non,LENOVO,standard,Taïwan,2.3,Non,Oui,4,2.0,WIFI 4 (N),5.0,269,INTEL CORE I5,LENOVO ThinkPad T450 - 4Go - SSD 256Go - Déclas Reconditionné,Windows,14.0,HD,Oui,ORIGINE,ORIGINE,False,23.2,2.39,33.8,1366,768,256,0,0
5.1,ACER,rétroéclairé,Chine,3.3,Non,Non,8,6.0,WIFI 6 (AX),2.3,1199,AMD RYZEN 5,PC Gamer ACER Nitro 5 AN515-45-R6SV,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,36.3,25.0,2.39,1920,1080,512,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,32,14.0,WIFI 6 (AX),2.1,3985,INTEL CORE I7,PC Gamer MSI GS66 Stealth 12UHS-044FR,Windows,15.6,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.83,1.98,24.8,2560,1440,2000,0,0
5,APPLE,standard,Chine,2.3,Non,Non,8,2.0,WIFI 4 (N),1.8,369,INTEL CORE I7,"Ordinateur APPLE APPLE MacBook Pro 13"" i7 2,8 GHz 512 Go Reconditionné",Mac,13.3,Full HD,Non,NULL,NULL,False,30.41,2.39,22.4,1280,800,0,0,0
5,DELL,rétroéclairé,Chine,4.7,Oui,Oui,16,10.0,WIFI 6 (AX),1.2,1299,INTEL CORE I7,Ordinateur portable DELL XPS 13-9315,Windows,13.4,Full HD,Oui,ORIGINE,ORIGINE,False,29.54,1.39,19.94,1920,1200,512,0,0
6,LENOVO,rétroéclairé,Chine,3.2,Non,Non,16,8.0,WIFI 6 (AX),2.5,2499,AMD RYZEN 7,PC Gamer LENOVO Legion5Pro 16ARH7H,Windows,16.0,WQXGA,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.9,26.4,1.99,2560,1600,512,0,0
4.2,ACER,standard,Chine,1.0,Non,Non,8,4.0,WIFI 6 (AX),2.7,729,INTEL CORE I5,Ordinateur portable ACER Aspire A317-52-54QM Noir,Windows,17.3,HD,Oui,ORIGINE,ORIGINE,False,28.9,41.9,2.47,1600,900,128,1000,0
4,APPLE,rétroéclairé,France,2.6,Non,Non,8,2.0,WIFI 4 (N),1.6,379,INTEL CORE I5,"APPLE Retina 13'' 2014 i5 2,6 Ghz 8 Go 512 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,31.4,1.9,21.9,2560,1600,512,0,0
4.2,MACBOOK,rétroéclairé,Chine,2.3,Non,Non,8,4.0,WIFI 5 (N/AC),1.8,979,INTEL CORE I5,Ordinateur Apple MACBOOK Pro 15'' i7 256Go Argent Touch Bar Reconditionné,Mac,15.4,Full HD,Non,AMD_RADEON,AMD,False,34.93,1.55,24.07,2880,1800,0,0,0
4.2,MACBOOK,rétroéclairé,Chine,2.3,Non,Non,8,4.0,WIFI 5 (N/AC),1.8,959,INTEL CORE I5,Ordinateur Apple MACBOOK Pro 15'' i7 512Go Gris Sideral Touch Bar Reconditionné,Mac,15.4,Full HD,Non,AMD_RADEON,AMD,False,34.93,1.55,24.07,2880,1800,0,0,0
5.2,ASUS,rétroéclairé,Chine,2.9,Non,Non,16,8.0,WIFI 6 (AX),2.5,1199,AMD RYZEN 7,PC Gamer ASUS STRIX-G15-G513IM-HN008W,Windows,15.6,Full HD,Non,NVIDIA_GEFORCE,NVIDIA,False,25.9,2.7,25.4,1920,1080,512,0,0
4.2,DELL,standard,Chine,4.0,Non,Non,16,15.0,WIFI 5 (N/AC),1.7,564,INTEL CORE I5,DELL Vostro 5471 - 16Go - SSD 256Go Reconditionné,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1920,1080,256,0,0
4.2,MACBOOK,rétroéclairé,Chine,2.3,Non,Non,8,4.0,WIFI 5 (N/AC),1.4,519,INTEL CORE I5,Ordinateur Apple MACBOOK Pro 13p i5 256Go Argent Reconditionné,Mac,13.3,Full HD,Non,NULL,NULL,False,30.41,1.49,21.24,2560,1600,0,0,0
4.2,MACBOOK,mécanique rétroéclairé,Chine,2.3,Non,Non,8,4.0,WIFI 5 (N/AC),1.4,919,INTEL CORE I5,Ordinateur Apple MACBOOK Pro 13p i5 Touch Bar 256Go Gris Sideral Reconditionné,Mac,13.3,Full HD,Non,NULL,NULL,False,30.41,1.49,21.24,2560,1600,0,0,0
5,ASUS,standard,Chine,1.1,Non,Oui,8,4.0,WIFI 6 (AX),2.4,499,INTEL PENTIUM,Chromebook ASUS CX1700CKA-AU0043,Chrome,17.3,Full HD,Oui,ORIGINE,ORIGINE,False,2.0,25.4,40.5,1920,1080,0,0,128
5,HUAWEI,standard,Chine,1.6,Oui,Non,8,4.0,WIFI 5 (N/AC),1.4,899,INTEL CORE I5,Ordinateur portable HUAWEI Matebook D 14 2021 I5 8 512,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,32.25,21.48,1.59,1920,1080,512,0,0
5,APPLE,standard,Chine,1.066,Non,Non,8,2.0,WIFI 6 (AX),1.8,309,INTEL CORE I5,"APPLE Pro 13"" 2011 i5 2.3Ghz 8GB 500GB Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1280,800,0,500,0
6,LENOVO,rétroéclairé,Chine,2.3,Non,Non,16,14.0,WIFI 6 (AX),2.5,2490,INTEL CORE I7,PC Gamer LENOVO Legion5Pro 16IAH7H,Windows,16.0,WQXGA,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.9,26.4,1.99,2560,1600,512,0,0
5,MACBOOK,rétroéclairé,Chine,2.9,Non,Oui,8,2.0,WIFI 5 (N/AC),1.6,779,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Pro Retina 13 i5 2,9 Ghz 128Go Reconditionné",No OS,13.3,Retina,Oui,NULL,NULL,False,31.4,1.9,21.9,2560,1600,128,0,0
4,HP,standard,Chine,2.0,Non,Non,8,8.0,WIFI 4 (N),2.2,374,INTEL CORE I5,HP ProBook 450 G2 - 8Go - SSD 512Go Reconditionné,Windows,15.6,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,512,0,0
5.1,LENOVO,rétroéclairé,Chine,3.2,Non,Non,16,8.0,WIFI 6 (AX),2.2,1099,AMD RYZEN 7,PC Gamer LENOVO Ideapad Gaming 3 15ACH6-041,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,24.96,35.9,2.49,1920,1080,512,0,0
5,MACBOOK,rétroéclairé,Chine,2.5,Non,Oui,8,4.0,WIFI 5 (N/AC),2.0,829,INTEL CORE I7,"Ordinateur Apple MACBOOK MacBook Pro Retina 15 i7 2,5 Ghz 512Go Reconditionné",No OS,15.4,Retina,Oui,AMD_RADEON,AMD,False,35.89,1.8,24.71,2880,1800,512,0,0
5,MACBOOK,rétroéclairé,Chine,3.49,Non,Non,16,8.0,WIFI 6 (AX),1.4,2059,PUCE APPLE M2,Ordinateur Apple MACBOOK CTO PRO 13 M2 16Go 512Go gris,Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.56,21.24,2560,1600,512,0,0
5.1,LENOVO,standard,Chine,2.55,Non,Non,4,8.0,WIFI 6 (AX),0.65,499,QUALCOMM,Chromebook LENOVO Duet 5 CB 13Q7C6 Oled 4Go 64Go,Chrome,13.3,OLED,Oui,ORIGINE,ORIGINE,False,18.67,30.59,0.72,1920,1080,0,0,64
5,MACBOOK,standard,Chine,2.29,Non,Non,4,2.0,WIFI 5 (N/AC),2.0,199,INTEL CORE I5,Ordinateur Apple MACBOOK 94933C Reconditionné,Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.0,5.0,20.0,1280,800,0,320,0
5.1,ACER,rétroéclairé,Chine,2.5,Oui,Non,16,4.0,WIFI 6 (AX),1.8,799,INTEL CORE I5,Ordinateur portable ACER Aspire Vero AV15-51-51EG,Windows,15.6,Full HD,Oui,ORIGINE,ORIGINE,False,23.85,36.34,1.79,1920,1080,512,0,0
5,MICROSOFT,rétroéclairé,Chine,1.0,Oui,Non,8,4.0,WIFI 6 (AX),1.1,881,INTEL CORE I5,Ordinateur portable MICROSOFT Laptop Go 12.5 I5 8 256 Platine,Windows,13.3,HD,Oui,ORIGINE,ORIGINE,True,20.6,27.8,1.57,1400,1500,256,0,0
4,MACBOOK,nc,Chine,2.3,Non,Oui,8,4.0,WIFI 5 (N/AC),1.6,354,INTEL CORE I5,Portable MACBOOK pro Retina 13 2.6hz 8go 256go Reconditionné,Mac,13.3,Full HD,Non,NULL,NULL,False,31.4,1.8,21.9,2560,1600,0,0,0
5,ASUS,rétroéclairé,Chine,2.7,Non,Non,16,8.0,WIFI 6 (AX),0.99,1599,AMD RYZEN 7,Ordinateur portable ASUS Zenbook UM5302TA-LX420W Blanc,Windows,13.3,OLED,Oui,ORIGINE,ORIGINE,True,1.5,22.0,29.7,2880,1800,1000,0,0
4,APPLE,rétroéclairé,France,2.4,Non,Non,16,2.0,WIFI 4 (N),1.6,529,INTEL CORE I5,"APPLE Retina 13'' 2013 i5 2,4 Ghz 16 Go 512 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,31.4,1.9,21.9,2560,1600,512,0,0
4,DELL,standard,Taïwan,2.4,Non,Oui,8,2.0,WIFI 5 (N/AC),5.0,309,INTEL CORE I5,Ordinateur portable reconditionné DELL Latitude 7280 - 8Go - SSD 256Go - Tactil Reconditionné,Windows,12.5,Full HD,Oui,ORIGINE,ORIGINE,False,20.6,2.39,30.9,1920,1080,256,0,0
5,APPLE,standard,Chine,1.6,Non,Non,4,2.0,WIFI 6 (AX),1.8,310,INTEL CORE I5,"Ordinateur APPLE APPLE Air 11"" 2015 i5 1.6Ghz 4GB 256GB SSD Reconditionné",Mac,11.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,256,0,0
5.1,LG,rétroéclairé,Corée du Sud,3.4,Oui,Oui,16,12.0,WIFI 6 (AX),0.999,1199,INTEL CORE I5,Ordinateur portable LG GRAM 14Z90Q-G.AA58F,Windows,14.0,Full HD,Oui,INTEL_IRIS,INTEL,False,21.4,31.2,1.7,1920,1200,1000,0,0
4.2,HP,standard,Chine,2.0,Non,Non,8,8.0,WIFI 5 (N/AC),1.5,479,INTEL CORE I5,HP EliteBook 840 G4 - 8Go - SSD 512Go Reconditionné,Windows,14.0,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,512,0,0
5,MACBOOK,standard,Chine,2.29,Non,Non,4,4.0,WIFI 5 (N/AC),2.0,289,INTEL CORE I5,Ordinateur Apple MACBOOK 95902C Reconditionné,Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.0,5.0,20.0,1280,800,0,250,0
5.2,LENOVO,rétroéclairé,Chine,3.5,Non,Oui,16,12.0,WIFI 6 (AX),1.5,2099,INTEL CORE I7,Ordinateur portable LENOVO Yoga 9 14IAP 7,Windows,14.0,4K,Oui,ORIGINE,ORIGINE,False,23.0,31.8,1.65,3840,2400,1000,0,0
4.2,HP,standard,Chine,2.3,Non,Oui,8,8.0,WIFI 5 (N/AC),1.7,359,INTEL CORE I5,Chromebook HP Pack X360 14-da0000nf+etui+google Mini Reconditionné,Chrome,13.3,Full HD,Non,NULL,NULL,True,22.68,32.54,1.6,1920,1080,0,0,0
5,APPLE,standard,Chine,2.2,Non,Non,8,2.0,WIFI 5 (N/AC),1.4,831,INTEL CORE I7,APPLE MacBook Air 2015 13' i7 8Go 2000SSD Reconditionné,Mac,13.3,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,2000,0,0
5.2,HP,rétroéclairé,Chine,4.7,Non,Oui,32,14.0,WIFI 6E,2.3,2699,INTEL CORE I7,Ordinateur portable HP 16-h0029nf,Windows,16.0,WQXGA,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.74,1.99,25.18,2560,1600,1000,0,0
5,APPLE,standard,Chine,2.6,Oui,Non,16,6.0,WIFI 5 (N/AC),2.0,1743,INTEL CORE I7,APPLE MacBook Pro 2019 16' i7 16Go 512SSD Reconditionné,Mac,13.3,Full HD,Oui,AMD_RADEON,AMD,False,30.41,2.39,22.4,3072,1920,512,0,0
5,APPLE,rétroéclairé,France,2.7,Oui,Non,8,4.0,WIFI 5 (N/AC),1.4,1369,INTEL CORE I7,"APPLE TouchBar 13'' 2018 i7 2,7Ghz 8 Go 512 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.49,21.24,2560,1600,512,0,0
5.2,HP,rétroéclairé,Chine,4.2,Non,Non,16,6.0,WIFI 6 (AX),2.5,1299,AMD RYZEN 5,PC Gamer HP 16-e0069nf,Windows,16.1,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,37.0,2.35,26.0,1920,1080,1000,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,16,14.0,WIFI 6 (AX),2.2,1839,INTEL CORE I7,PC Gamer MSI Pulse GL66 12UEK-049XFR,FreeDOS,15.6,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.9,2.39,25.9,2560,1440,1000,0,0
5.1,SAMSUNG,rétroéclairé,Viêt Nam,2.1,Oui,Oui,16,12.0,WIFI 6 (AX),1.4,1169,INTEL CORE I7,PC Hybride SAMSUNG GALAXY BOOK2 PRO360 15' i7/16Go/512 EVO,Windows,13.3,Full HD,Oui,INTEL_IRIS,INTEL,True,22.77,1.19,35.48,1920,1080,512,0,0
5.1,ACER,rétroéclairé,Chine,2.3,Non,Oui,32,8.0,WIFI 6 (AX),2.5,3299,INTEL CORE I7,PC Gamer ACER Predator Triton 500 SE PT516-51s-73,Windows,16.0,WQXGA,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.8,26.2,1.99,2560,1600,2000,0,0
5,MICROSOFT,standard,Chine,3.0,Non,Non,16,4.0,WIFI 6 (AX),1.8,1899,INTEL CORE I7,PC Hybride MICROSOFT Laptop Studio i7 16 512 GPU Platine,Windows,14.5,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,22.8,32.3,0.19,2400,1600,512,0,0
5.2,ASUS,rétroéclairé,Chine,4.9,Non,Non,32,8.0,WIFI 6 (AX),1.3,1999,AMD RYZEN 9,PC Gamer ASUS FLOW-X13-GV301RC-LJ067W,Windows,13.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,True,22.2,1.6,29.9,1920,1080,512,0,0
4.2,APPLE,rétroéclairé,France,3.5,Non,Non,8,2.0,WIFI 4 (N),1.4,919,INTEL CORE I7,"APPLE TouchBar 13'' 2017 i7 3,5Ghz 8 Go 512 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.49,21.24,2560,1600,512,0,0
5,MACBOOK,rétroéclairé,Chine,2.0,Oui,Non,16,4.0,WIFI 5 (N/AC),1.4,1330,INTEL CORE I5,Ordinateur Apple MACBOOK Pro 13 Touch Bar I5 2Ghz 16go 512 Gris Reconditionné,Mac,13.3,Retina,Oui,NULL,NULL,False,30.41,1.56,21.24,2560,1600,512,0,0
4.2,HP,rétroéclairé,Chine,2.3,Non,Non,8,8.0,WIFI 5 (N/AC),3.0,1177,INTEL CORE I5,Ordinateur portable HP Spectre folio 13 ak0003nf Reconditionné,Windows,13.3,Full HD,Non,NULL,NULL,True,32.01,1.54,23.45,1920,1080,0,0,0
5,MICROSOFT,standard,Chine,2.6,Non,Non,16,4.0,WIFI 6 (AX),1.8,1699,INTEL CORE I5,PC Hybride MICROSOFT Surface Laptop Studio I5/16/256 Platine,Windows,14.5,Full HD,Oui,INTEL_IRIS,INTEL,False,22.8,32.3,0.19,2400,1600,256,0,0
5,MACBOOK,rétroéclairé,Chine,2.3,Oui,Non,8,4.0,WIFI 5 (N/AC),1.4,1186,INTEL CORE I5,Ordinateur Apple MACBOOK Pro 13 Touch Bar I5 1.4 128 Gris Reconditionné,Mac,13.3,Full HD,Non,NULL,NULL,False,30.41,1.49,21.24,2400,1600,0,0,0
