bluetooth,brand,clavier,lieu_fabrication,frequence,lecteur_empreinte,lecteur_carte_memoire,RAM,nb_coeurs,norme_wifi,poids,price,processeur,product_type,OS,taille_ecran,type_resolution,webcam,model_CG,marque_CG,tactile,longueur,hauteur,profondeur,resolution1,resolution2,SSD,HDD,eMMC
5,ASUS,rétroéclairé,Chine,1.6,Non,Oui,1,4.0,WIFI 6 (AX),1.3,749,INTEL CORE I5,Ordinateur portable ASUS UX334FA-A3067T Numpad Bleu Reconditionné,Windows,13.3,Full HD,Oui,NULL,NULL,False,1.9,18.9,30.2,1920,1080,512,0,0
5.1,ACER,rétroéclairé,Chine,2.3,Non,Non,16,8.0,WIFI 6 (AX),3.0,2199,INTEL CORE I7,PC Gamer ACER Nitro 5 AN517-55-74K4,Windows,17.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,40.0,29.4,2.78,1920,1080,512,0,0
5,APPLE,standard,Chine,1.6,Non,Non,8,2.0,WIFI 6 (AX),1.8,370,INTEL CORE I5,"Ordinateur APPLE APPLE Pro 13"" 2012 i5 2.5Ghz 8GB 500GB SSD Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,512,0,0
4.2,HP,standard,Chine,2.4,Non,Non,8,4.0,WIFI 5 (N/AC),2.1,799,INTEL CORE I5,Ordinateur portable HP 17-cn0502nf,Windows,17.3,Full HD,Non,ORIGINE,ORIGINE,False,40.07,1.99,25.78,1920,1080,512,0,0
5,HP,rétroéclairé,Chine,0.0,Non,Non,32,8.0,WIFI 6 (AX),2.8,1599,INTEL CORE I7,PC Gamer HP OMEN 17-ck0039nf,Windows,17.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.71,2.7,26.2,1920,1080,1000,0,0
4,APPLE,rétroéclairé,France,1.7,Non,Non,8,2.0,WIFI 4 (N),1.1,369,INTEL CORE I7,"APPLE Air 11'' 2014 i7 1,7 Ghz 8 Go 128 Go Reconditionné",Mac,11.5,Mini led,Oui,ORIGINE,ORIGINE,False,30.0,1.7,19.2,1366,768,128,0,0
5.2,HP,rétroéclairé,Chine,2.0,Non,Non,16,6.0,WIFI 6 (AX),2.3,899,AMD RYZEN 5,PC Gamer HP Pack 15-fb0136nf + souris + Game pass 3,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.79,2.35,25.5,1920,1080,512,0,0
5,MACBOOK,nc,Chine,2.4,Non,Oui,8,4.0,WIFI 5 (N/AC),1.6,499,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Pro Retina 13 i5 2,4 Ghz 128Go Reconditionné",Mac,13.3,Full HD,Non,NULL,NULL,False,31.4,1.9,21.9,2560,1600,0,0,0
4,APPLE,rétroéclairé,France,2.29,Non,Non,16,4.0,WIFI 4 (N),2.0,759,INTEL CORE I7,"APPLE Retina 15'' 2013 i7 2,3 Ghz 16 Go 1 To Reconditionné",Mac,15.4,Retina,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.89,1.8,24.71,2880,1800,1000,0,0
5,ASUS,rétroéclairé,Chine,2.8,Non,Oui,16,4.0,WIFI 6 (AX),2.3,999,INTEL CORE I7,Ordinateur portable ASUS S712EAM-AU515W,Windows,17.3,Full HD,Oui,ORIGINE,ORIGINE,False,21.0,253.0,40.6,1920,1080,512,0,0
5,MACBOOK,standard,Chine,2.5,Non,Non,16,6.0,WIFI 5 (N/AC),1.8,599,INTEL CORE I7,"MACBOOK Retina 15"" 2014 i7 2.5Ghz 16GB 500GB SSD Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1280,800,128,0,0
